CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt
768805383,0,45,0,3,3,0,39,5,3,12691,777,11914,1.335,1144
818770008,0,49,1,5,1,0,44,6,2,8256,864,7392,1.541,1291
713982108,0,51,0,3,4,0,36,4,0,3418,0,3418,2.594,1887
769911858,0,40,1,4,1,0,34,3,1,3313,2517,796,1.405,1171
709106358,0,40,0,3,3,0,21,5,0,4716,0,4716,2.175,816
713061558,0,44,0,2,2,0,36,3,2,4010,1247,2763,1.376,1088
810347208,0,51,0,4,5,2,46,6,3,34516,2264,32252,1.975,1330
818906208,0,32,0,0,3,1,27,2,2,29081,1396,27685,2.204,1538
710930508,0,37,0,3,3,0,36,5,0,22352,2517,19835,3.355,1350
719661558,0,48,0,2,4,0,36,6,3,11656,1677,9979,1.524,1441
708790833,0,42,0,5,5,0,31,5,2,6748,1467,5281,0.831,1201
710821833,0,65,0,1,2,0,54,6,3,9095,1587,7508,1.433,1314
710599683,0,56,0,1,4,0,36,3,0,11751,0,11751,3.397,1539
816082233,0,35,0,3,3,0,30,5,3,8547,1666,6881,1.163,1311
712396908,0,57,1,2,1,0,48,5,2,2436,680,1756,1.19,1570
714885258,0,44,0,4,4,0,37,5,2,4234,972,3262,1.707,1348
709967358,0,48,0,4,4,0,36,6,3,30367,2362,28005,1.708,1671
753327333,0,41,0,3,4,0,34,4,1,13535,1291,12244,0.653,1028
806160108,0,61,0,1,2,0,56,2,3,3193,2517,676,1.831,1336
709327383,0,45,1,2,0,0,37,6,2,14470,1157,13313,0.966,1207
806165208,0,47,0,1,3,0,42,5,0,20979,1800,19179,0.906,1178
708508758,1,62,1,0,1,0,49,2,3,1438.3,0,1438.3,1.047,692
784725333,0,41,0,3,2,0,33,4,1,4470,680,3790,1.608,931
811604133,0,47,1,4,1,0,36,3,2,2492,1560,932,0.573,1126
789124683,0,54,0,2,4,0,42,4,3,12217,0,12217,1.075,1110
771071958,0,41,1,3,1,0,28,6,2,7768,1669,6099,0.797,1051
720466383,0,59,0,1,2,0,46,4,2,14784,1374,13410,0.921,1197
804424383,0,63,0,1,3,0,56,3,2,10215,1010,9205,0.843,1904
718813833,0,44,1,3,0,0,34,5,2,10100,0,10100,0.525,1052
806624208,0,47,0,4,2,0,42,6,0,4785,1362,3423,0.739,1045
778348233,0,53,0,3,4,0,33,3,3,2753,1811,942,0.977,1038
712991808,0,53,0,2,3,0,48,2,1,2451,1690,761,1.323,1596
709029408,0,41,0,4,3,0,36,4,2,8923,2517,6406,1.726,1589
788658483,0,53,1,2,1,0,38,5,3,2650,1490,1160,1.75,1411
787937058,0,58,0,0,4,0,49,6,2,12555,1696,10859,0.519,1291
715318008,0,55,1,1,1,0,36,4,1,3520,1914,1606,0.51,1407
713962233,0,55,1,3,1,0,36,6,3,3035,2298,737,1.724,1877
785432733,0,42,1,4,1,2,36,2,3,15433,0,15433,0.865,966
715190283,0,57,1,1,2,0,49,3,2,3672,886,2786,1.32,1464
708300483,1,66,1,0,0,0,56,5,3,7882,605,7277,1.052,704
827111283,0,45,0,3,4,0,41,2,2,32426,578,31848,1.042,1109
758551608,0,51,0,2,2,0,44,4,0,6205,2204,4001,0.803,1347
773146383,0,50,1,1,2,1,43,3,3,17304,2517,14787,1.449,1756
778493808,0,49,0,3,3,0,37,5,1,3906,0,3906,1.214,1756
720572508,0,38,1,4,0,0,28,2,3,9830,2055,7775,0.977,1042
712661433,0,49,0,4,4,0,30,3,3,34516,0,34516,1.621,1444
789172683,0,56,0,2,3,0,45,6,0,2283,1430,853,2.316,1741
738406533,0,59,0,1,2,0,52,3,2,2548,2020,528,2.357,1719
799723908,0,46,0,3,4,0,40,4,3,19458,1435,18023,0.787,1217
771490833,0,52,0,1,4,0,40,5,1,4745,1227,3518,0.624,1140
720756708,0,52,1,3,1,0,41,6,2,2622,1549,1073,1.321,1878
779471883,1,54,1,1,1,0,40,2,1,1438.3,808,630.3,0.997,705
711525033,0,66,1,0,1,0,54,3,2,3171,2179,992,1.224,1946
712813458,0,49,0,2,5,0,36,4,0,19763,2517,17246,0.664,1414
714374133,1,56,0,2,5,0,36,1,3,15769,0,15769,1.041,602
717891558,0,49,1,4,1,0,36,6,2,3298,2200,1098,0.678,1052
716632758,0,49,1,3,1,0,36,2,0,2802,2363,439,0.75,1295
768563658,0,56,0,2,2,0,50,4,3,4458,1880,2578,1.107,1424
711427458,0,44,1,5,0,0,35,4,2,6273,978,5295,2.275,1359
714091983,0,42,0,2,3,0,34,4,3,3336,1753,1583,0.69,1168
787584108,0,55,0,3,4,0,47,4,3,3436,2016,1420,0.901,1097
712030833,1,48,0,2,3,1,35,2,4,34516,0,34516,0.763,691
711481533,0,39,0,1,3,0,33,5,3,5926,1251,4675,0.944,1316
710082708,0,44,0,4,5,0,32,2,2,23957,2102,21855,0.997,1276
708155733,0,53,0,2,5,0,44,4,2,14734,1634,13100,0.989,1289
788979258,0,51,0,4,4,1,38,4,4,34516,1515,33001,0.592,1293
807986133,0,57,0,2,3,0,52,5,3,6584,1817,4767,0.62,1353
788730933,0,44,1,2,1,0,20,6,3,2084,1468,616,1.004,1132
711314058,0,49,0,2,3,0,32,2,2,1687,1107,580,1.715,1670
717975333,0,50,0,2,4,0,38,6,2,25300,1330,23970,1.072,837
715971108,0,51,0,4,5,0,42,3,3,34516,1763,32753,1.266,1550
720096558,0,55,1,2,1,0,42,5,3,2216,1034,1182,0.758,1540
719580033,0,54,0,1,3,0,43,4,3,2910,2030,880,0.769,1256
820582308,0,42,0,5,4,0,37,6,2,22913,1528,21385,0.414,1394
789973308,0,44,0,1,3,0,35,3,3,24312,1932,22380,1.312,1341
712876233,0,53,0,2,4,0,36,5,2,5272,1515,3757,0.857,1289
804595158,0,44,1,4,1,0,36,6,2,7000,2517,4483,0.475,1112
714826758,0,37,1,3,1,0,29,4,2,7038,1801,5237,0.751,2339
779058108,0,49,0,3,3,0,30,6,2,2536,1823,713,0.703,1468
710790258,0,47,0,2,4,0,38,6,2,28904,1899,27005,0.85,1334
715623483,0,47,0,3,3,0,37,4,0,8567,1695,6872,1.242,1457
715156383,0,44,0,1,5,0,36,6,2,34516,1533,32983,0.924,1603
711013983,1,55,1,4,2,0,45,2,3,2158,0,2158,0.585,615
755420433,0,59,1,1,0,0,52,2,3,10133,1417,8716,0.383,1068
794543958,0,53,0,1,4,0,35,5,2,34516,1219,33297,1.129,1590
716396358,0,52,0,2,3,0,47,5,0,3085,1910,1175,0.921,1531
715398033,0,53,0,2,5,0,35,4,1,19040,2056,16984,0.607,1212
711743883,0,43,1,3,1,0,35,5,3,4026,0,4026,0.483,1237
719720058,0,44,0,3,3,0,31,4,1,12756,837,11919,1.932,1413
778992108,0,57,0,2,5,0,45,5,3,5266,0,5266,1.702,1516
717539808,0,51,1,2,1,0,36,3,2,9930,0,9930,0.731,1276
714070758,0,49,0,4,4,0,38,4,0,31302,1953,29349,0.875,1564
714107958,0,45,0,1,2,0,36,4,3,6576,0,6576,0.579,1465
789140283,0,53,0,0,4,0,42,5,1,2664,2037,627,0.85,1286
715550508,0,45,1,3,0,0,28,5,2,2535,2440,95,1.705,1312
719712633,0,64,0,1,1,0,52,6,3,1709,895,814,1.656,1673
772629333,0,45,0,3,2,0,35,5,2,3454,1200,2254,0.597,1313
720336708,0,53,0,3,2,0,35,5,2,3789,1706,2083,1.047,1609
802013583,0,56,0,3,5,0,50,3,0,9689,2250,7439,0.576,1158
711887583,1,47,0,2,4,0,37,2,3,5449,1628,3821,0.696,836
714778833,0,49,1,3,0,0,43,4,0,23032,1960,21072,0.619,1289
713843283,0,41,1,3,0,1,34,5,3,34516,2053,32463,1.034,1487
779155158,0,53,0,3,5,0,34,6,2,2940,1264,1676,0.562,1259
721091583,0,44,1,2,1,0,32,3,3,3031,1879,1152,0.788,1298
713572683,0,44,0,3,3,0,25,3,0,1862,0,1862,0.883,1226
716657058,0,43,1,4,1,0,33,2,3,8358,926,7432,0.762,1566
779509983,0,53,0,2,5,0,36,6,2,34516,931,33585,0.828,1022
717929133,0,44,0,1,3,0,36,5,3,14450,2440,12010,1.283,1235
808284783,0,62,1,1,1,0,56,6,0,1438.3,0,1438.3,0.813,1951
708476808,0,54,0,4,5,0,36,6,2,33791,1960,31831,0.618,1047
710916408,0,57,0,4,3,0,39,4,0,8466,1886,6580,0.56,1342
708492558,0,42,0,3,3,0,36,5,3,15088,865,14223,0.939,1107
799825758,0,42,0,4,3,0,36,5,2,3263,1674,1589,0.588,1251
718619883,0,54,1,0,1,0,36,2,2,1494,706,788,1.674,1305
711844758,0,48,0,3,4,0,35,6,0,13551,1294,12257,0.791,1388
714798783,0,49,0,1,4,0,36,6,2,18886,895,17991,1.826,1235
826762908,0,52,0,3,4,0,48,3,0,11976,1273,10703,1.024,2089
771894558,0,50,0,3,4,0,39,4,4,9964,1559,8405,1.873,1626
721074183,0,49,0,1,3,0,36,4,3,24159,1196,22963,0.712,1111
715259583,0,53,1,2,1,0,44,3,3,5362,1901,3461,0.816,1553
718414008,0,50,0,2,5,0,36,3,2,34516,1023,33493,1.004,1064
719666283,0,55,1,1,1,0,36,4,0,3174,1951,1223,0.766,1243
714877233,0,53,0,1,4,0,47,3,2,12262,1836,10426,1.584,1659
785387883,0,47,1,3,2,0,41,4,3,3788,1540,2248,0.566,1594
771075258,0,55,0,2,5,1,42,2,2,34516,1527,32989,0.526,1268
711318033,0,47,0,3,3,0,36,4,2,2926,0,2926,0.676,1304
783554958,0,58,0,4,5,0,52,6,0,32090,0,32090,0.567,1368
720201033,1,53,0,2,4,0,41,3,2,11669,2227,9442,0.622,720
718039683,0,52,0,2,2,0,45,3,2,13532,1300,12232,0.846,1521
710806083,0,50,1,1,1,1,36,4,2,11888,2090,9798,0.7,1137
714752208,0,42,1,1,1,0,36,5,2,2393,1985,408,0.788,978
822063408,0,43,0,4,2,0,39,5,2,6111,2517,3594,0.632,1221
714490308,0,57,0,4,4,0,46,3,3,19270,1662,17608,1.186,1565
713356833,0,52,0,1,4,0,43,3,4,3710,2517,1193,1.541,1578
711402333,0,47,0,2,1,0,37,2,3,3235,797,2438,0.541,1493
708296883,0,44,1,3,2,0,38,3,0,11749,788,10961,0.688,1178
719154483,0,53,0,2,3,0,36,5,2,7753,2100,5653,0.839,991
717721458,0,45,0,4,3,0,40,5,0,10408,1186,9222,1.689,2560
711112683,0,63,1,1,0,0,36,6,3,3967,1568,2399,1.236,1657
715674483,0,39,1,2,1,0,27,4,2,6205,2517,3688,0.939,1204
789322833,1,48,1,5,1,0,38,1,3,8025,0,8025,0.654,673
